,men_gender,women_gender,all_gender,men_white,women_white,all_white,men_african,women_african,all_african,men_race,women_race,all_race,men_black,women_black,all_black,men_war,women_war,all_war,men_racial,women_racial,all_racial,men_nation,women_nation,all_nation,men_colonial,women_colonial,all_colonial,year
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1953
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1954
2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1955
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1956
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,1957
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,1958
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,1959
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,1960
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,1961
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,1962
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,1963
11,,,0.0,,,0.0009075865221926428,,,0.0004379978959400766,,,0.00010191053103579598,,,0.00010306071380910353,,,0.001279223005086807,,,0.0,,,0.00034892738597820715,,,6.11639774978446e-05,1964
12,,,0.0,,,0.0009075865221926428,,,0.0004379978959400766,,,0.00010191053103579598,,,6.0197447628220555e-05,,,0.0011001489649312907,,,0.0,,,0.00026320085361644115,,,0.0003078600127401353,1965
13,,,0.0,,,0.00046861371256125864,,,0.0004379978959400766,,,0.00013233652985359038,,,8.23753141174643e-05,,,0.0007663838859139828,,,0.0,,,0.0003158047189234793,,,0.00029393027857944226,1966
14,1.2648621300278269e-05,,8.432414200185513e-06,0.00036653002112330135,,0.00034679447740907217,0.0004379978959400766,,0.0004379978959400766,7.857308899337533e-05,,7.857308899337533e-05,0.00010767255671802084,,9.924014251783532e-05,0.0008026860176833395,,0.0007726641601401489,0.0,,3.4126780991382986e-05,0.00015995758662530702,,0.00020847560489384369,0.00029393027857944226,,0.00037924723105789974,1967
15,,,8.432414200185513e-06,,,0.0002042485773542521,,,0.0004259584064144325,,,6.653359946773121e-05,,,3.904269488961476e-05,,,0.0005848522633621161,,,3.4126780991382986e-05,,,0.00024555806059723057,,,0.00037924723105789974,1968
16,,,8.432414200185513e-06,,,0.00024203920716493608,,,3.193708394462905e-05,,,7.412128409098453e-05,,,7.344535974859636e-05,,,0.0006938056332363633,,,4.694975976935311e-05,,,0.000270930982678816,,,0.0003594604318957258,1969
17,,,8.432414200185513e-06,,,0.00027436946388785234,,,3.193708394462905e-05,,,8.46865244502027e-05,,,8.816688253948233e-05,,,0.000724205625060336,,,5.254964777159307e-05,,,0.00029269599904251407,,,0.00016699207677061054,1970
18,,0.0,1.5425791883645227e-05,,0.00026298383348278447,0.00025234798695758666,,0.00010316214397847052,8.924938615489044e-05,,5.3930618897892496e-05,4.876079595826652e-05,,5.6165202822547855e-05,9.256015320631377e-05,,0.0004961227878833407,0.0005177062007215282,,0.00012169364776565146,6.706531184232823e-05,,0.00033627191346203417,0.00023391413833127075,,0.00033193639076748197,0.00019228560441364177,1971
19,,0.0,6.993377683459715e-06,,0.00031207164999439465,0.00025105631237149146,,0.00010316214397847052,8.924938615489044e-05,,7.982475527520493e-05,7.236019910708059e-05,,0.00010949043867753429,0.00011717050824871,,0.0006530859437013359,0.0006096713867042548,,3.1500684195443784e-05,4.241760372067735e-05,,0.00014001631639191508,0.0001328045580475185,,7.845262845096183e-05,0.00010888750369429166,1972
